word,audio_url,image_url,pos,zh,forms,example_en,example_zh,phonics,fake_pron,mnemonic
school,,,n.,學校,schools|學校(複數),Let's go to school.,我們去上學吧。,oo 發「ㄨ」,ㄙ-ㄍ-ㄨ-ㄌ,學校 (school) 裡有兩個圓圓眼睛 (oo) 的小貓在看書。
bed,,,n.,床,beds|床(複數),"Go to bed, Ruby.",去睡覺吧，Ruby。,e 發「ㄝ」,ㄅ-ㄝ-ㄉ,在床 (bed) 上睡覺是一件很棒的事。
go to school,,,phrase,去上學,無,I go to school every morning.,我每天早上都去上學。,無,ㄍ-ㄡ ㄊ-ㄨ ㄙ-ㄍ-ㄨ-ㄌ,每天早上背著書包去上學 (go to school)。
go to bed,,,phrase,去睡覺,無,It's time to go to bed.,該去睡覺囉。,無,ㄍ-ㄡ ㄊ-ㄨ ㄅ-ㄝ-ㄉ,晚上累了就要乖乖去睡覺 (go to bed)。
doll,,,n.,玩偶/娃娃,dolls|玩偶(複數),What are these? They are dolls.,這些是什麼？它們是洋娃娃。,o 發「ㄚ」,ㄉ-ㄚ-ㄌ,洋娃娃 (doll) 的眼睛圓圓的像個 o。
robot,,,n.,機器人,robots|機器人(複數),How many robots? Ten.,有幾個機器人？十個。,o 發「ㄡ」/「ㄚ」,ㄖ-ㄡ-ㄅ-ㄚ-ㄊ,機器人 (robot) 走路時發出 ㄖㄡ-ㄅㄚ-ㄊ 的聲音。
bag,,,n.,書包/袋子,bags|書包(複數),This is my bag.,這是我的書包。,a 發「ㄞ」,ㄅ-ㄞ-ㄍ,書包 (bag) 裡裝了好多讀書好物。
eraser,,,n.,橡皮擦,erasers|橡皮擦(複數),Look! There's an eraser.,看！那裡有一個橡皮擦。,er 發「ㄦ」,ㄧ-ㄖ-ㄟ-ㄙ-ㄦ,橡皮擦 (eraser) 把寫錯的字擦掉了。
tired,,,adj.,疲倦的/累的,無,"Are you tired? Yes, I am.",你累了嗎？是的，我累了。,i 發「ㄞ」,ㄊ-ㄞ-ㄦ-ㄉ,工作了一整天，我好累 (tired) 喔。
sick,,,adj.,生病的,無,"Is she sick? Yes, she is sick.",她生病了嗎？是的，她生病了。,i 發「ㄧ」,ㄙ-ㄧ-ㄍ,生病 (sick) 時要多喝水、多休息。
thirsty,,,adj.,口渴的,無,"Are you thirsty? No, I am not.",你口渴嗎？不，我不口渴。,ir 發「ㄦ」,ㄙ-ㄦ-ㄙ-ㄊ-ㄧ,口渴 (thirsty) 的 ir 發 ㄦ（er），喉嚨乾了想喝水。
warm,,,adj.,溫暖的,無,It is warm today.,今天很溫暖。,ar 發「ㄛ」,ㄨ-ㄛ-ㄇ,春天溫暖的 (warm) 太陽出來了。
hot,,,adj.,炎熱的,無,It is hot.,天氣很熱。,o 發「ㄚ」,... (ㄏ-ㄚ-ㄊ),夏天好熱 (hot)，好想吃冰淇淋。
cool,,,adj.,涼爽的/酷的,無,It is cool.,天氣很涼爽。,oo 發「ㄨ」,ㄎ-ㄨ-ㄌ,秋天的風涼爽的 (cool)，吹起來很舒服。
cold,,,adj.,寒冷的,無,It's cold. Put on your jacket.,天氣很冷，穿上你的外套吧。,o 發「ㄡ」,ㄎ-ㄡ-ㄌ-ㄉ,冬天好冷 (cold)，要穿外套。
lucky money,,,n.,紅包/壓歲錢,無,"Wow, lucky money!",哇，是紅包！,u 發「ㄚ」,ㄌ-ㄚ-ㄍ-ㄧ ㄇ-ㄚ-ㄋ-ㄧ,過年時收到裝著紅包的幸運錢 (lucky money)。
dragon dance,,,n.,舞龍,無,Let's watch the dragon dance.,我們一起來看舞龍吧。,a 發「ㄞ」,ㄉ-ㄖ-ㄞ-ㄍ-ㄣ ㄉ-ㄢ-ㄙ,新年慶典上有精彩的舞龍 (dragon dance)。
lion dance,,,n.,舞獅,無,The lion dance is cool.,舞獅真的很酷。,i 發「ㄞ」,ㄌ-ㄞ-ㄢ ㄉ-ㄢ-ㄙ,舞獅 (lion dance) 的獅子眼睛一閃一閃的。
firecracker,,,n.,鞭炮,firecrackers|鞭炮(複數),Listen to the firecracker.,聽聽鞭炮的聲音。,"i 發「ㄞ」, er 發「ㄦ」",ㄈ-ㄞ-ㄦ-ㄎ-ㄖ-ㄞ-ㄎ-ㄦ,放鞭炮 (firecracker) 劈里啪啦好熱鬧。
pencil,,,n.,鉛筆,pencils|鉛筆(複數),They are pencils.,它們是鉛筆。,e 發「ㄝ」,ㄆ-ㄝ-ㄣ-ㄙ-ㄛ,用鉛筆 (pencil) 在筆記本上寫字。
flower,,,n.,花朵,flowers|花朵(複數),These are flowers.,這些是花。,"ow 發「ㄠ」, er 發「ㄦ」",ㄈ-ㄌ-ㄠ-ㄦ,美麗的花朵 (flower) 的 ow 發 ㄠ（ow），在地上慢慢盛開。
